Name,NetWorth,Country,Source,Rank,Age,Industry,Continent
Pavel Durov,$17.2 B,Russia,messaging app,112,36,Technology,Europe and Asia
James Ratcliffe,$17 B,United Kingdom,chemicals,113,68,Manufacturing,Europe
Jorge Paulo Lemann & family,$16.9 B,Brazil,beer,114,81,Food & Beverage,South America
Reinhold Wuerth & family,$16.8 B,Germany,fasteners,115,85,Manufacturing,Europe
Charlene de Carvalho-Heineken & family,$16.7 B,Netherlands,Heineken,116,66,Food & Beverage,Europe
Radhakishan Damani,$16.5 B,India,"retail, investments",117,66,Fashion & Retail,Asia
Wang Chuanfu,$16.3 B,China,"batteries, automobiles",118,55,Automotive,Asia
Steve Cohen,$16 B,United States,hedge funds,119,64,Finance & Investments,North America
Ken Griffin,$16 B,United States,hedge funds,119,52,Finance & Investments,North America
Chen Zhiping,$15.9 B,China,e-cigarettes,121,45,Manufacturing,Asia
"Ernest Garcia, II.",$15.9 B,United States,used cars,121,63,Automotive,North America
Uday Kotak,$15.9 B,India,banking,121,62,Finance & Investments,Asia
Carl Icahn,$15.8 B,United States,investments,124,85,Finance & Investments,North America
Suleiman Kerimov & family,$15.8 B,Russia,investments,124,55,Finance & Investments,Europe and Asia
"Thomas Frist, Jr. & family",$15.7 B,United States,hospitals,126,82,Healthcare,North America
Lukas Walton,$15.6 B,United States,Walmart,127,34,Fashion & Retail,North America
Mikhail Fridman,$15.5 B,Russia,"oil, banking, telecom",128,56,Energy,Europe and Asia
Wei Jianjun & family,$15.5 B,China,automobiles,128,57,Automotive,Asia
Zuo Hui,$15.5 B,China,real estate services,128,50,Real Estate,Asia
Zhou Qunfei & family,$15.4 B,Hong Kong,smartphone screens,131,51,Technology,Asia
Donald Bren,$15.3 B,United States,real estate,132,88,Real Estate,North America
Hinduja brothers,$14.9 B,United Kingdom,diversified,133,N/A,Diversified,Europe
Lakshmi Mittal,$14.9 B,India,steel,133,70,Metals & Mining,Asia
Georg Schaeffler,$14.9 B,Germany,auto parts,133,56,Automotive,Europe
Eric Yuan & family,$14.9 B,United States,video conferencing,133,51,Technology,North America
Wang Jianlin,$14.8 B,China,real estate,137,66,Real Estate,Asia
Kwong Siu-hing,$14.7 B,Hong Kong,real estate,138,91,Real Estate,Asia
Robin Li,$14.7 B,China,internet search,138,52,Technology,Asia
Pallonji Mistry,$14.6 B,Ireland,construction,140,91,Construction & Engineering,Europe
Eduardo Saverin,$14.6 B,Brazil,Facebook,140,39,Technology,South America
Roman Abramovich,$14.5 B,Russia,"steel, investments",142,54,Diversified,Europe and Asia
David Tepper,$14.5 B,United States,hedge funds,142,63,Finance & Investments,North America
Gong Hongjia & family,$14.4 B,Hong Kong,video surveillance,144,56,Finance & Investments,Asia
Mike Cannon-Brookes,$14.2 B,Australia,software,145,41,Technology,Australia
"John Menard, Jr.",$14.2 B,United States,home improvement stores,145,81,Fashion & Retail,North America
Seo Jung-jin,$14.2 B,South Korea,biotech,145,63,Healthcare,Asia
Cheng Yixiao,$14.1 B,China,video streaming app,148,37,Media & Entertainment,Asia
Liang Wengen,$14.1 B,China,construction equipment,148,64,Manufacturing,Asia
Scott Farquhar,$14 B,Australia,software,150,41,Technology,Australia
Finn Rausing,$13.9 B,Sweden,packaging,151,66,Food & Beverage,Europe
Jorn Rausing,$13.9 B,Sweden,packaging,151,61,Food & Beverage,Europe
Kirsten Rausing,$13.9 B,Sweden,packaging,151,68,Food & Beverage,Europe
Brian Chesky,$13.7 B,United States,Airbnb,154,39,Technology,North America
Joseph Lau,$13.6 B,Hong Kong,real estate,155,69,Real Estate,Asia
David Duffield,$13.5 B,United States,business software,156,80,Technology,North America
Charoen Sirivadhanabhakdi,$13.5 B,Thailand,"alcohol, real estate",156,76,Food & Beverage,Asia
Kim Jung-ju,$13.3 B,South Korea,online games,158,53,Technology,Asia
Robert & Philip Ng,$13.3 B,Singapore,real estate,158,69,Real Estate,Asia
Zhang Bangxin,$13.3 B,China,education,158,41,Service,Asia
Anders Holch Povlsen,$13.2 B,Denmark,fashion retail,161,48,Fashion & Retail,Europe
Wang Wenyin,$13.2 B,China,"mining, copper products",161,53,Metals & Mining,Asia
Wang Liping & family,$13.1 B,China,hydraulic machinery,163,55,Manufacturing,Asia
Tatyana Bakalchuk,$13 B,Russia,ecommerce,164,45,Fashion & Retail,Europe and Asia
Michael Platt,$13 B,United Kingdom,hedge funds,164,53,Finance & Investments,Europe
Huang Shilin,$12.9 B,China,batteries,166,54,Energy,Asia
Ricardo Salinas Pliego & family,$12.9 B,Mexico,"retail, media",166,65,Fashion & Retail,North America
Kumar Birla,$12.8 B,India,commodities,168,53,Diversified,Asia
Dang Yanbao,$12.7 B,China,coal,169,48,Metals & Mining,Asia
Cyrus Poonawalla,$12.7 B,India,vaccines,169,79,Healthcare,Asia
Robert Kuok,$12.6 B,Malaysia,"palm oil, shipping, property",171,97,Diversified,Asia
Hank & Doug Meijer,$12.6 B,United States,supermarkets,171,66,Fashion & Retail,North America
Jack Dorsey,$12.5 B,United States,"Twitter, Square",173,44,Technology,North America
Lu Zhongfang,$12.5 B,China,education,173,78,Automotive,Asia
Ma Jianrong & family,$12.5 B,China,"textiles, apparel",173,57,Fashion & Retail,Asia
Zhang Tao,$12.5 B,China,e-commerce,173,48,Fashion & Retail,Asia
Nathan Blecharczyk,$12.4 B,United States,Airbnb,177,37,Technology,North America
John Doerr,$12.4 B,United States,venture capital,177,69,Technology,North America
Joe Gebbia,$12.4 B,United States,Airbnb,177,39,Technology,North America
Forrest Li,$12.4 B,Singapore,gaming,177,43,Media & Entertainment,Asia
Yu Renrong,$12.3 B,China,semiconductors,181,55,Manufacturing,Asia
Liu Yonghao & family,$12.1 B,China,agribusiness,182,69,Service,Asia
Gordon Moore,$12.1 B,United States,Intel,182,92,Technology,North America
Jeff Yass,$12 B,United States,"trading, investments",184,62,Finance & Investments,North America
Bobby Murphy,$11.9 B,United States,Snapchat,185,32,Technology,North America
Patrick Drahi,$11.8 B,France,telecom,186,57,Telecom,Europe
Jensen Huang,$11.8 B,United States,semiconductors,186,58,Technology,North America
Alexander Otto,$11.8 B,Germany,real estate,186,53,Real Estate,Europe
Cen Junda,$11.6 B,China,pharmaceuticals,189,56,Healthcare,Asia
Joseph Tsai,$11.6 B,Canada,e-commerce,189,57,Technology,North America
Aliko Dangote,$11.5 B,Nigeria,"cement, sugar",191,63,Manufacturing,Africa
Marcel Herrmann Telles,$11.5 B,Brazil,beer,191,71,Food & Beverage,South America
Mikhail Prokhorov,$11.4 B,Russia,investments,193,55,Finance & Investments,Europe and Asia
Jorge Moll Filho & family,$11.3 B,Brazil,hospitals,194,76,Healthcare,South America
Viktor Rashnikov,$11.2 B,Russia,steel,195,72,Manufacturing,Europe and Asia
Harry Triguboff,$11.2 B,Australia,real estate,195,88,Real Estate,Australia
Leonid Fedun & family,$11.1 B,Russia,oil,197,65,Energy,Europe and Asia
Eyal Ofer,$11.1 B,Israel,"real estate, shipping",197,70,Diversified,Asia
Evan Spiegel,$11.1 B,United States,Snapchat,197,30,Technology,North America
Luis Carlos Sarmiento,$11 B,Colombia,banking,200,88,Finance & Investments,South America
Andreas Struengmann & family,$11 B,Germany,pharmaceuticals,200,71,Healthcare,Europe
Thomas Struengmann & family,$11 B,Germany,pharmaceuticals,200,71,Healthcare,Europe
Rodolphe SaadÃ© & family,$10.9 B,France,shipping,203,51,Logistics,Europe
Dilip Shanghvi,$10.9 B,India,pharmaceuticals,203,65,Healthcare,Asia
Tom & Judy Love,$10.8 B,United States,retail & gas stations,205,83,Fashion & Retail,North America
Anthony Pratt,$10.8 B,Australia,manufacturing,205,60,Manufacturing,Australia
Wang Laisheng,$10.8 B,China,electronics components,205,56,Technology,Asia
Gianluigi & Rafaela Aponte,$10.7 B,Switzerland,Shipping,208,80,Logistics,Europe
Wang Laichun,$10.7 B,China,electronics components,208,53,Technology,Asia
Chen Jianhua,$10.6 B,China,chemicals,210,50,Manufacturing,Asia
Leng Youbin,$10.6 B,China,infant formula,210,52,Food & Beverage,Asia
Charles Schwab,$10.6 B,United States,discount brokerage,210,83,Finance & Investments,North America
Li Zhenguo & family,$10.5 B,China,solar wafers and modules,213,53,Manufacturing,Asia
Sunil Mittal & family,$10.5 B,India,telecom,213,63,Telecom,Asia
Melker Schorling & family,$10.5 B,Sweden,investments,213,73,Finance & Investments,Europe
Cai Kui,$10.4 B,China,real estate,216,58,Real Estate,Asia
John Fredriksen,$10.4 B,Cyprus,shipping,216,76,Logistics,Europe
Qi Shi & family,$10.4 B,China,financial information,216,51,Technology,Asia
"Chase Coleman, III.",$10.3 B,United States,investments,219,45,Finance & Investments,North America
Hui Wing Mau,$10.3 B,Hong Kong,real estate,219,70,Real Estate,Asia
"Edward Johnson, III.",$10.3 B,United States,money management,219,90,Finance & Investments,North America
Liu Hanyuan,$10.3 B,China,agribusiness,219,57,Food & Beverage,Asia
Larry Xiangdong Chen,$10.2 B,China,education,223,49,Service,Asia
Philip Anschutz,$10.1 B,United States,investments,224,81,Finance & Investments,North America
Dietmar Hopp & family,$10.1 B,Germany,software,224,80,Technology,Europe
German Khan,$10.1 B,Russia,"oil, banking, telecom",224,59,Energy,Europe and Asia
Li Ge,$10.1 B,United States,pharmaceutical ingredients,224,54,Healthcare,North America
Jay Chaudhry,$10 B,United States,security software,228,61,Technology,North America
Eric Wittouck,$10 B,Belgium,investments,228,74,Finance & Investments,Europe
Carl Cook,$9.9 B,United States,medical devices,230,58,Healthcare,North America
Jan Koum,$9.9 B,United States,WhatsApp,230,45,Technology,North America
"Herbert Kohler, Jr. & family",$9.8 B,United States,plumbing fixtures,232,82,Manufacturing,North America
Tobi Lutke,$9.8 B,Canada,e-commerce,232,40,Technology,North America
James Dyson,$9.7 B,United Kingdom,vacuums,234,73,Manufacturing,Europe
Mat Ishbia,$9.7 B,United States,â˜…,234,41,Finance & Investments,North America
Savitri Jindal & family,$9.7 B,India,steel,234,71,Metals & Mining,Asia
Friedhelm Loh,$9.7 B,Germany,manufacturing,234,74,Manufacturing,Europe
Iskander Makhmudov,$9.7 B,Russia,"mining, metals, machinery",234,57,Metals & Mining,Europe and Asia
Stefano Pessina,$9.7 B,Italy,drugstores,234,79,Fashion & Retail,Europe
Quek Leng Chan,$9.7 B,Malaysia,"banking, property",234,79,Diversified,Asia
Israel Englander,$9.6 B,United States,hedge funds,241,72,Finance & Investments,North America
Charles Ergen,$9.6 B,United States,satellite TV,241,68,Media & Entertainment,North America
Jim Pattison,$9.6 B,Canada,diversified,241,92,Diversified,North America
Yao Liangsong,$9.6 B,China,furniture,241,56,Manufacturing,Asia
David Geffen,$9.5 B,United States,"movies, record labels",245,78,Media & Entertainment,North America
Yeung Kin-man,$9.5 B,Hong Kong,electronics,245,57,Manufacturing,Asia
Ding Shizhong & family,$9.4 B,China,sports apparel,247,50,Fashion & Retail,Asia
Harold Hamm & family,$9.4 B,United States,oil & gas,247,75,Energy,North America
Jim Kennedy,$9.4 B,United States,"media, automotive",247,73,Media & Entertainment,North America
Blair Parry-Okeden,$9.4 B,United States,"media, automotive",247,70,Media & Entertainment,North America
Ding Shijia,$9.3 B,China,sports apparel,251,57,Fashion & Retail,Asia
Kim Beom-su,$9.3 B,South Korea,online services,251,55,Technology,Asia
Ian & Richard Livingstone,$9.3 B,United Kingdom,real estate,251,58,Real Estate,Europe
Sun Hongbin,$9.3 B,United States,real estate,251,58,Real Estate,North America
Alberto Bailleres Gonzalez & family,$9.2 B,Mexico,mining,255,89,Metals & Mining,North America
Lam Wai-ying,$9.1 B,Hong Kong,smartphone screens,256,N/A,Manufacturing,Asia
Massimiliana Landini Aleotti & family,$9.1 B,Italy,pharmaceuticals,256,78,Healthcare,Europe
Lu Xiangyang,$9.1 B,China,"automobiles, batteries",256,58,Automotive,Asia
Wolfgang Marguerre & family,$9.1 B,Germany,pharmaceuticals,256,79,Healthcare,Europe
David Sun,$9.1 B,United States,computer hardware,256,69,Technology,North America
John Tu,$9.1 B,United States,computer hardware,256,79,Technology,North America
Guillaume Pousaz,$9 B,Switzerland,fintech,262,39,Finance & Investments,Europe
Viktor Vekselberg,$9 B,Russia,"metals, energy",262,63,Energy,Europe and Asia
Jerry Jones,$8.9 B,United States,Dallas Cowboys,264,78,Sports,North America
Michael Otto,$8.9 B,Germany,"retail, real estate",264,77,Fashion & Retail,Europe
Steven Rales,$8.9 B,United States,manufacturing,264,70,Manufacturing,North America
Sarath Ratanavadi,$8.9 B,Thailand,energy,264,55,Energy,Asia
Tse Ping,$8.9 B,China,pharmaceuticals,264,69,Healthcare,Asia
Chan Tan Ching-fen,$8.8 B,Hong Kong,real estate,269,N/A,Real Estate,Asia
David Cheriton,$8.8 B,Canada,Google,269,70,Technology,North America
Xavier Niel,$8.8 B,France,"internet, telecom",269,53,Telecom,Europe
August von Finck,$8.8 B,Germany,investments,269,91,Finance & Investments,Europe
Zong Qinghou,$8.8 B,China,beverages,269,75,Food & Beverage,Asia
Benu Gopal Bangur,$8.7 B,India,cement,274,89,Manufacturing,Asia
Sam Bankman-Fried,$8.7 B,United States,cryptocurrency,274,29,Finance & Investments,North America
Cheng Xue,$8.7 B,China,soy sauce,274,51,Food & Beverage,Asia
Graeme Hart,$8.7 B,New Zealand,investments,274,65,Finance & Investments,Australia
Kjeld Kirk Kristiansen,$8.7 B,Denmark,Lego,274,73,Manufacturing,Europe
Sofie Kirk Kristiansen,$8.7 B,Denmark,Lego,274,45,Manufacturing,Europe
Thomas Kirk Kristiansen,$8.7 B,Denmark,Lego,274,42,Manufacturing,Europe
Lin Bin,$8.7 B,United States,smartphones,274,53,Technology,North America
Liu Jincheng & family,$8.7 B,China,lithium batteries,274,56,Technology,Asia
Shigenobu Nagamori,$8.7 B,Japan,motors,274,76,Manufacturing,Asia
Carlos Alberto Sicupira & family,$8.7 B,Brazil,beer,274,73,Food & Beverage,South America
Agnete Kirk Thinggaard,$8.7 B,Denmark,Lego,274,37,Manufacturing,Europe
Anthony von Mandl,$8.7 B,Canada,alcoholic beverages,274,N/A,Food & Beverage,North America
Xu Shihui,$8.7 B,China,"snacks, beverages",274,63,Food & Beverage,Asia
Ernesto Bertarelli,$8.6 B,Switzerland,"biotech, investments",288,55,Healthcare,Europe
Leon Black,$8.6 B,United States,private equity,288,69,Finance & Investments,North America
Azim Premji,$8.6 B,India,software services,288,75,Technology,Asia
Andrei Skoch & family,$8.6 B,Russia,steel,288,55,Metals & Mining,Europe and Asia
George Soros,$8.6 B,United States,hedge funds,288,90,Finance & Investments,North America
Zheng Shuliang & family,$8.6 B,China,aluminum products,288,75,Metals & Mining,Asia
Marc Benioff,$8.4 B,United States,business software,294,56,Technology,North America
Kuldip Singh & Gurbachan Singh Dhingra,$8.4 B,India,paints,294,N/A,Manufacturing,Asia
Ann Walton Kroenke,$8.4 B,United States,Walmart,294,72,Fashion & Retail,North America
Bubba Cathy,$8.3 B,United States,Chick-fil-A,297,66,Food & Beverage,North America
Dan Cathy,$8.3 B,United States,Chick-fil-A,297,68,Food & Beverage,North America
Jay Y. Lee,$8.3 B,South Korea,Samsung,297,52,Diversified,Asia
Pan Dong,$8.3 B,Canada,consumer goods,297,56,Fashion & Retail,North America
Hasso Plattner & family,$8.3 B,Germany,software,297,77,Technology,Europe
Nassef Sawiris,$8.3 B,Egypt,"construction, investments",297,60,Construction & Engineering,Africa
Kushal Pal Singh,$8.3 B,India,real estate,297,89,Real Estate,Asia
Stanley Kroenke,$8.2 B,United States,"sports, real estate",304,73,Sports,North America
Niels Peter Louis-Hansen,$8.2 B,Denmark,medical devices,304,73,Healthcare,Europe
Alain Merieux & family,$8.2 B,France,pharmaceuticals,304,83,Healthcare,Europe
Andreas von Bechtolsheim & family,$8.2 B,Germany,Google,304,65,Technology,Europe
Diane Hendricks,$8 B,United States,roofing,308,74,Construction & Engineering,North America
Shahid Khan,$8 B,United States,auto parts,308,70,Automotive,North America
Nicky Oppenheimer & family,$8 B,South Africa,diamonds,308,75,Metals & Mining,Africa
Anthony Bamford & family,$7.9 B,United Kingdom,construction equipment,311,75,Construction & Engineering,Europe
Andrew Beal,$7.9 B,United States,"banks, real estate",311,68,Finance & Investments,North America
Dmitry Bukhman,$7.9 B,Russia,online games,311,35,Media & Entertainment,Europe and Asia
Igor Bukhman,$7.9 B,Russia,online games,311,39,Media & Entertainment,Europe and Asia
Takahisa Takahara,$7.9 B,Japan,personal care goods,311,59,Fashion & Retail,Asia
Kei Hoi Pang,$7.8 B,China,real estate,316,55,Real Estate,Asia
Alexei Kuzmichev,$7.8 B,Russia,"oil, banking, telecom",316,58,Energy,Europe and Asia
John Malone,$7.8 B,United States,cable television,316,80,Media & Entertainment,North America
Marijke Mars,$7.8 B,United States,"candy, pet food",316,56,Food & Beverage,North America
Pamela Mars,$7.8 B,United States,"candy, pet food",316,60,Food & Beverage,North America
Valerie Mars,$7.8 B,United States,"candy, pet food",316,62,Food & Beverage,North America
Victoria Mars,$7.8 B,United States,"candy, pet food",316,64,Food & Beverage,North America
Giorgio Armani,$7.7 B,Italy,luxury goods,323,86,Fashion & Retail,Europe
Frederik Paulsen,$7.7 B,Sweden,health care,323,70,Healthcare,Europe
David Reuben,$7.7 B,United Kingdom,"investments, real estate",323,82,Real Estate,Europe
Simon Reuben,$7.7 B,United Kingdom,"real estate, investments",323,79,Diversified,Europe
Alexander Abramov,$7.6 B,Russia,"steel, mining",327,62,Metals & Mining,Europe and Asia
Rinat Akhmetov,$7.6 B,Ukraine,"steel, coal",327,54,Metals & Mining,Europe
Silvio Berlusconi & family,$7.6 B,Italy,media,327,84,Diversified,Europe
John Grayken,$7.6 B,Ireland,private equity,327,64,Finance & Investments,Europe
David Green & family,$7.6 B,United States,retail,327,79,Fashion & Retail,North America
George Roberts,$7.6 B,United States,private equity,327,77,Finance & Investments,North America
Zhao Yan,$7.6 B,China,biotech,327,54,Diversified,Asia
Nancy Walton Laurie,$7.5 B,United States,Walmart,334,69,Fashion & Retail,North America
Pei Zhenhua,$7.5 B,China,batteries,334,62,Energy,Asia
Ruan Liping,$7.5 B,Hong Kong,power strips,334,57,Manufacturing,Asia
Ruan Xueping,$7.5 B,Hong Kong,power strip,334,49,Manufacturing,Asia
Patrick Soon-Shiong,$7.5 B,United States,pharmaceuticals,334,68,Healthcare,North America
Antonia Ax:son Johnson & family,$7.4 B,Sweden,diversified,339,77,Diversified,Europe
"Ernest Garcia, III.",$7.4 B,United States,used cars,339,38,Automotive,North America
George Lucas,$7.4 B,United States,Star Wars,339,76,Media & Entertainment,North America
Vicky Safra,$7.4 B,Greece,banking,339,68,Finance & Investments,Europe
Zhang Jindong,$7.4 B,China,appliance retailer,339,58,Fashion & Retail,Asia
Laurent Dassault,$7.3 B,France,diversified,344,67,Diversified,Europe
Thierry Dassault,$7.3 B,France,diversified,344,64,Diversified,Europe
